inhal,DB update status,Curator,level1,level2,level3,level4,level5,level6,level7,level8,PARENT TERMS (optional),HAS_FOR,TERM,DEFINITION,Mapping,EXACT SYNONYMS,BROAD SYNONYMS,NARROW SYNONYMS,RELATED SYNONYMS,DB_SYNONYMS,ASSOCIATED PROCESS,ASSOCIATED ROLE,ASSOCIATED PHYSIOLOGICAL EFFECT,ASSOCIATED BIOLOGICAL LOCATION,TERM SOURCE,ORIGINAL_DEFINITION_SOURCE,SOURCE_OF_DEFINITION,COMMENT,SUGGESTED MAIN TERM
Modify,21-Jan-18,Naama,Physiological Effect,Health Effect,Health Condition,Molecular Disorder; System Disorder,Genetic Disorder,Inborn Error of Metabolism,,,Peroxisomal biogenesis defects,,D-Bifunctional protein deficiency,"An autosomal recessive (Gene HSD1784)  peroxisomal disease characterized by, in severe cases, infantile-onset of hypotonia, seizures, and abnormal facial features with most dieing before age 2 years. (DO)",,,,,,DOID:0090031,,,,,HMDB,Disease Ontology (DO),,,
,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,Molecular Disorder; System Disorder,Genetic Disorder,Inborn Error of Metabolism,,,,,Glucagon deficiency,An autosomal recessive (Gene HADHSC) metabolic disorder characterized by abnormally high insulin/glucose ratios.,,Hypoglykemia due to glucagon deficiency; Hyperinsulinemic hypoclycemia;,,Glucocorticoid deficiency 1; GCCD1; Familial glucocorticoid deficiency 1; FGD1; Glucocorticoid deficiency 2; GCCD2; Familial glucocorticoid deficiency 2; FGD2; Glucocorticoid deficiency 3; GCCD3; Familial glucocorticoid deficiency 3; FGD3; Glucocorticoid deficiency 4; GCCD4; Familial glucocorticoid deficiency 4; FGD4;,,,,,,,HMDB,,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,Molecular Disorder; System Disorder,Genetic Disorder,Inborn Error of Metabolism,,,,,Danon disease,"An X-linked (Gene LAMP2) metabolic disorder predominantly affecting cardiac muslce; originally a variant of glycogen storage disease I, it is no longer considered a glycogen storage disease because glycogen is not always increased. ",heart,GSD type IIb; Glycogen storage disease type IIb; ,,,,,,,,,HMDB,,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,Molecular Disorder; System Disorder,Genetic Disorder,Inborn Error of Metabolism,,,,,Dihydropyrimidinase deficiency,"An autosomal recessive (Gene DPYS) purine-pyrimidine metabolic disorder in which there is absent or significantly decreased activity of dihydropyrimidase, an enzyme involved in the metabolism of 5,6-dihydrothymine and 5,6-dihydrouracil.",,Dihydropyrimidinuria; DHPuria;,,,Dihydropyrimidine dehydrogenase deficiency,,,,,,HMDB,,,These are both really related but different (below),
,,Naama,Physiological Effect,Health Effect,Health Condition,Molecular Disorder; System Disorder,Genetic Disorder,Inborn Error of Metabolism,,,,,Dihydropyrimidine dehydrogenase deficiency,"An autosomal recessive (Gene DPYD) purine-pyrimidine metabolic disorder in which there is absent or significantly decreased activity of dihydropyrimidine dehydrogenase, an enzyme involved in the metabolism of uracil and thymine. (DO)",,DPD deficiency; Dihydropyrimidine dehydrogenase (DPD) deficiency; Hereditary thymine-uraciluria; Familial pyrimidinemia,,,Dihydropyrimidinase deficiency,DOID:14218,,,,,HMDB,Disease Ontology (DO),,These are both really related but different (above),
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,Molecular Disorder; System Disorder,Genetic Disorder,Inborn Error of Metabolism,,,,,Dimethylglycine Dehydrogenase Deficiency,An autosomal recessive (Gene DMGDH) metabolic disorder characterized by muscle fatigue and a fish-like odor.,,"DMGDHD; Dimethylglycinuria
",,,,,,,,,HMDB,,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,Molecular Disorder; System Disorder,Genetic Disorder,Inborn Error of Metabolism,,,,,Ethanolaminosis,"An autosomal recessive (Gene Unknown) lysosomal storage disease characterized by an increase in urinary levels of ethanolamine due to diminished ethanolamine kinase activity leading to ardiomegaly, generalized muscular hypotonia, cerebral dysfunction, failure to thrive and early death symptoms.",urine; cerebrum,,,,,,,,,,HMDB,,https://www.ncbi.nlm.nih.gov/pubmed/198213,,
,,Naama,Physiological Effect,Health Effect,Health Condition,Molecular Disorder; System Disorder,Genetic Disorder,Inborn Error of Metabolism,,,,,Ethylmalonic encephalopathy,"An autosomal recessive (Gene ETHE1) mitochondrial metabolism disease that is characterized by neurodevelopmental delay and regression, prominent pyramidal and extrapyramidal signs, recurrent petechiae, orthostatic acrocyanosis, and chronic diarrhea. (DO)",,EE; (EPEMA syndrome),,,,DOID:0060640,,,,,HMDB,Disease Ontology (DO),,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,Molecular Disorder; System Disorder,Genetic Disorder,Inborn Error of Metabolism,,,,,Fabry disease,"An X-linked (Gene GLA) inborn error of glycosphingolipid catabolism resulting from deficient or absent activity of the lysosomal enzyme alpha-galactosidase A. Fabry disease is characterized by systemic accumulation of globotriaoslyceramide (Gb3) and related glycosphingolipids in the plasma and cellular lysosomes of vessels, nerves, tissues, and organs throughout the body causing systemic symptoms.",lysosome,Sweeley-Klionsky disease; Ceramide trihexosidosis; Ruiter-Pompen-Wyers syndrome; Angiokeratoma corporis diffusum; Anderson-Fabry disease; Hereditary dystopic deficiency; Alpha-galactoside A deficiency; Ceramide trihexosidase deficiency;,,,,,,,,,HMDB,,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,Molecular Disorder; System Disorder,Genetic Disorder,Inborn Error of Metabolism,,,,,Familial hypermethioninemia,An autosomal recessive (Gene AHCY) metabolic disorder characterized by a deficiency of S-adenosylhomocysteine hydrolase causing numerous developmental disorders.,,Inherited hypermethioninemia; Hypermethioninemia with deficiency of S-adenosylhomocysteine hydrolase;,,,,,,,,,HMDB,,,,
,,Naama,Physiological Effect,Health Effect,Health Condition,Molecular Disorder; System Disorder,Genetic Disorder,Inborn Error of Metabolism,,,,,Familial mediterranean fever,"An autosomal recessive (Gene MEFV) hypersensitivity reaction type II disease characterized by recurrent episodes of fever and acute inflammation of the membranes lining the abdomen, joints and lungs.",abdomen; joints; lung,FMF; Mediterranean fever,,,,DOID:2987,,,,,HMDB,Disease Ontology (DO),,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,Molecular Disorder; System Disorder,Genetic Disorder,Inborn Error of Metabolism,,,,,Farber disease,"An autosomal recessive (Gene ASAH1) lysosomal storage disorder characterized by early-onset subcutaneous nodules, painful and progressively deformed joints, and hoarseness by laryngeal involvement. ",,Ceramidase deficiency; Farber's lipogranulomatosis; Farber lipogranulomatosis; Ceramidase,,,,,,,,,HMDB,,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,Molecular Disorder; System Disorder,Genetic Disorder,Inborn Error of Metabolism,,,,,"Fructose-1,6-diphosphatase deficiency",An autosomal recessive (Gene FBP) metabolic disorder characterized by impaired gluconeogenesis. (OMIM),,"Fructose-1,6-biphosphatase deficiency",,,,,,,,,HMDB,,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,Molecular Disorder; System Disorder,Genetic Disorder,Inborn Error of Metabolism,,,,,Gaba-transaminase deficiency,"An autosomal recessive (Gene ABAT) inborn error of metabolism of GABA characterized by neonatal or early infantile-onset encephalopathy, hypotonia, hypersomnolence, epilepsy, choreoathetosis, and accelerated linear growth. (OMIM)",,Gamma-aminobutyrate transaminase; Gamma-amino butyric acid (Gaba) transaminase deficiency,,,,,,,,,HMDB,,,,
,,Zach,Physiological Effect,Health Effect,Health Condition,Molecular Disorder; System Disorder,Genetic Disorder,Inborn Error of Metabolism,,,,,Galactosemia,A rare genetic metabolic disorder that affects an individual's ability to metabolize the sugar galactose properly.,,,,,,,,,,,,,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,Molecular Disorder; System Disorder,Genetic Disorder,Inborn Error of Metabolism,,,Galactosemia,,Galactosemia type 1,An autosomal recessive (Gene GALT) inborn error of metabolism of galactose characterized by numerous neonatal developmental disorders.,,Galactose-1-phosphate uridyltransferase deficiency; Classical galactosemia,,,,,,,,,HMDB,,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,Molecular Disorder; System Disorder,Genetic Disorder,Inborn Error of Metabolism,,,Galactosemia,,Galactosemia type 2,An autosomal recessive (Gene GALK 1) metabolic disorder which cause cataract formation in children not maintained on a lactose-free diet. (OMIM),,Galactokinase deficiency,,,,,,,,,HMDB,,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,Molecular Disorder; System Disorder,Genetic Disorder,Inborn Error of Metabolism,,,Galactosemia,,Galactosemia type 3,An autosomal recessive (Gene GALE) metabolic disorder which may cause various developmental disorders; Galactosemia three is a continuum disorder; (OMIM),,Uridine Diphosphate Galactose 4 Epimerase Deficiency; UDP-Galactose-4-epimerase deficiency; Galactose epimerase deficiency,,,,,,,,,HMDB,,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,Molecular Disorder; System Disorder,Genetic Disorder,Inborn Error of Metabolism,,,,,Gamma-glutamyl transpeptidase deficiency,An autosomal recessive (Gene GGT1) metabolic disorder involving the gamma-glutamyl cycle characterized by presence of glutathione in urine.,urine,Gamma-glutamyl-transpeptidase deficiency; Glutathionuria; Gamma-glutamyltransferase deficiency,,,,,,,,,HMDB,,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,Molecular Disorder; System Disorder,Genetic Disorder,Inborn Error of Metabolism,,,,,Gamma-glutamylcysteine synthetase deficiency,An autosomal recessive (Gene GCLC) metabolic disorder involving the gamma-glutamyl cycle charcterized by hemolytic anemia in patients.,blood,,,,,,,,,,,,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,Molecular Disorder; System Disorder,Genetic Disorder,Inborn Error of Metabolism,,,,,Gaucher's disease,An autosomal recessive (Gene GBA) metabolic disorder classified by a failure of  glucocereboside which may result in a wide range of developmental disorders.,,Gaucher disease,,,,,,,,,HMDB,,,,
,,Naama,Physiological Effect,Health Effect,Health Condition,Molecular Disorder; System Disorder,Genetic Disorder,Inborn Error of Metabolism,,,,,Glycogen storage disease,"A glycogen metabolism disorder that has material basis in enzymes deficiencies necessary in the processing of glycogen synthesis or breakdown within muscles, liver, and other cell types. (DO)",liver,Dextrinosis; Glycogenosis; GSD,,,,DOID:2747,,,,,HMDB,Disease Ontology (DO),,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,Molecular Disorder; System Disorder,Genetic Disorder,Inborn Error of Metabolism,,,,,Hereditary coproporphyria,"An autosomal dominant (Gene CPOX) metabolic disorder characterized by acute attacks of neurologic dysfunction often provoked by drugs, fasting, menstrual cycle, or infectious disease due to acute hepatic poryphia.",,HCP; Coproporphyrinogen oxidase deficiency;,,,,,,,,,HMDB,,,i believe its a metabolic disorder..irregular heme biosynthesis due to porphyria seems right,
Modify,21-Jan-18,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Genetic Disorder,Inborn Error of Metabolism,,,,,Crigler-Najjar syndrome type I,An autosomal recessive (Gene UGT1A1) metabolic disorder characterized by the deficiency of UDP glucuronosyltransferases (UGT) leading to buildup of non-detoxified bilirubin.,,"Crigler-Najjar syndrome (DOID:3803); UDP-glucuronosyltransferase, severe deficiency type I; CN1",,,,,,,,,HMDB,,TMIC team,,
Modify,21-Jan-18,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Genetic Disorder,Inborn Error of Metabolism,,,,,Cytochrome C oxidase deficiency,"An autosomal recessive metabolic disorder which can affect several parts of the body, including the muscles used for movement (skeletal muscles), the heart, the brain, or theliver. Signs and symptoms of cytochrome c oxidase deficiency usually begin before age 2 but can appear later in mildly affected individuals. Can be caused by mutations in several nuclear-encoded and mitochondrial-encoded genes.(GHR)",skeletal muscle; heart; brain; liver,COX deficiency; Cytochrome c oxidase deficiency; Mitochondrial Complex IV Deficiency,,,,,,,,,HMDB,NIH Genetics Home Reference,,,
Modify ,23-04-17,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder; Molecular Disorder,Genetic Disorder,Inborn Error of Metabolism,,,Chondrodysplasia punctata,,Rhizomelic chondrodysplasia punctata type 2,"A genetic disease that is characterized by systemic shortening of the proximal bones (i.e. rhizomelia), seizures, recurrent respiratory tract infections, and congential cataracts and has material basis in mutations of the alkyldihydroxyacetonephosphate synthase (alkyl-DHAP synthase) gene. (DO)",,RCDP2,,,,DOID:2580,,,,,HMDB,Disease Ontology (DO),,,
,,,Physiological Effect,Health Effect,Health Condition,System Disorder; Molecular Disorder,Genetic Disorder,Inborn Error of Metabolism,,,Hyperlipoproteinemia,,"Hyperlipoproteinemia, Type I",An autosomal recessive (Gene LPL) inborn error of lipid metabolism characterized by a deficiency of lipoprotein lipase.,,Lipoprotein Lipase Deficiency,,,,,,,,,,,,,
,,,Physiological Effect,Health Effect,Health Condition,System Disorder; Molecular Disorder,Genetic Disorder,Inborn Error of Metabolism,,,Hyperlipoproteinemia,,"Hyperlipoproteinemia, Type II","An autosomal dominant inborn error of lipid metabolism disorder characterized by elevation of serum cholesterol bound to low density lipoprotein (LDL), which promotes deposition of cholesterol in the skin (xanthelasma), tendons (xanthomas), and coronary arteries (atherosclerosis).",skin; artery,Familial Hypercholesterolemia,,,,,,,,,,,,,
Modify,20-Jan-18,An Chi,Physiological Effect,Health Effect,Health Condition,System Disorder; Molecular Disorder,Genetic Disorder,Inborn Error of Metabolism,,,Hyperlipoproteinemia,,"Hyperlipoproteinemia, Type III","A inborn error of lipid metabolism (Gene APOE) characterized by a delayed uptake of chylomicron and very low density lipoprotein (VLDL) remnants by the liver, elevated plasma cholesterol levels, mild hypertriglyceridemia, and the development of type III hyperlipoproteinemia.",liver; blood,Familial apolipoprotein E deficiency; Apolipoprotein E deficiency,,,,,,,,,HMDB,,,,
